[10:42:44] [INFO] received Windows console close event; shutting log-core down
[11:17:10] [INFO] received Windows console close event; shutting log-core down
[11:36:12] [INFO] received Windows console close event; shutting log-core down
[11:37:30] [INFO] received Windows console close event; shutting log-core down
[11:51:24] [INFO] received Windows console close event; shutting log-core down
[12:06:29] [INFO] received Windows console close event; shutting log-core down
[12:09:06] [INFO] received Windows console close event; shutting log-core down
[12:10:17] [INFO] received Windows console close event; shutting log-core down
[12:11:23] [INFO] received Windows console close event; shutting log-core down
[12:12:25] [INFO] received Windows console close event; shutting log-core down
[12:13:13] [INFO] received Windows console close event; shutting log-core down
[12:15:35] [INFO] received Windows console close event; shutting log-core down
[12:19:42] [INFO] received Windows console close event; shutting log-core down
[12:23:33] [INFO] received Windows console close event; shutting log-core down
[12:29:13] [INFO] received Windows console close event; shutting log-core down
[14:47:27] [INFO] received Windows console close event; shutting log-core down
[18:10:50] [INFO] received Windows console close event; shutting log-core down
[23:46:19] [INFO] received Windows console close event; shutting log-core down
[23:50:18] [INFO] received Windows console close event; shutting log-core down
[23:53:33] [INFO] received Windows console close event; shutting log-core down
[23:55:22] [INFO] received Windows console close event; shutting log-core down
[00:11:01] [INFO] received Windows console close event; shutting log-core down
[00:15:10] [INFO] received Windows console close event; shutting log-core down
[00:22:14] [INFO] received Windows console close event; shutting log-core down
[00:24:18] [INFO] received Windows console close event; shutting log-core down
[15:30:56] [INFO] received Windows console close event; shutting log-core down
[15:32:46] [INFO] received Windows console close event; shutting log-core down
[15:36:28] [INFO] received Windows console close event; shutting log-core down
[15:37:31] [INFO] received Windows console close event; shutting log-core down
[15:51:02] [INFO] received Windows console close event; shutting log-core down
[15:52:56] [INFO] received Windows console close event; shutting log-core down
[15:54:06] [INFO] received Windows console close event; shutting log-core down
[19:13:58] [INFO] received Windows console close event; shutting log-core down
[19:35:40] [INFO] received Windows console close event; shutting log-core down
[19:37:09] [INFO] received Windows console close event; shutting log-core down
[19:39:02] [INFO] received Windows console close event; shutting log-core down
[19:40:22] [INFO] received Windows console close event; shutting log-core down
[19:42:55] [INFO] received Windows console close event; shutting log-core down
[19:44:57] [INFO] received Windows console close event; shutting log-core down
[19:48:01] [INFO] received Windows console close event; shutting log-core down
[19:49:15] [INFO] received Windows console close event; shutting log-core down
[21:53:08] [INFO] received Windows console close event; shutting log-core down
[21:56:17] [INFO] received Windows console close event; shutting log-core down
[21:56:58] [INFO] received Windows console close event; shutting log-core down
[21:57:29] [INFO] received Windows console close event; shutting log-core down
[13:29:13] [INFO] received Windows console close event; shutting log-core down
[13:31:38] [INFO] received Windows console close event; shutting log-core down
[13:33:33] [INFO] received Windows console close event; shutting log-core down
[13:35:18] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:38:58] [INFO] received Windows console close event; shutting log-core down
[13:39:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:43:56] [INFO] received Windows console close event; shutting log-core down
[18:28:38] [INFO] received Windows console close event; shutting log-core down
[18:30:38] [INFO] received Windows console close event; shutting log-core down
[18:33:12] [INFO] received Windows console close event; shutting log-core down
[18:35:14] [INFO] received Windows console close event; shutting log-core down
[18:35:52] [INFO] received Windows console close event; shutting log-core down
[18:37:17] [INFO] received Windows console close event; shutting log-core down
[18:40:21] [INFO] received Windows console close event; shutting log-core down
[18:41:49] [INFO] received Windows console close event; shutting log-core down
[18:44:38] [INFO] received Windows console close event; shutting log-core down
[18:46:33] [INFO] received Windows console close event; shutting log-core down
[18:48:39] [INFO] received Windows console close event; shutting log-core down
[18:53:44] [INFO] received Windows console close event; shutting log-core down
[18:59:11] [INFO] received Windows console close event; shutting log-core down
[19:13:46] [INFO] received Windows console close event; shutting log-core down
[19:25:41] [INFO] received Windows console close event; shutting log-core down
[22:10:12] [INFO] received Windows console close event; shutting log-core down
[22:20:39] [INFO] received Windows console close event; shutting log-core down
[22:23:22] [INFO] received Windows console close event; shutting log-core down
[22:25:38] [INFO] received Windows console close event; shutting log-core down
[22:27:37] [INFO] received Windows console close event; shutting log-core down
[23:33:03] [INFO] received Windows console close event; shutting log-core down
[23:36:21] [INFO] received Windows console close event; shutting log-core down
[23:41:04] [INFO] received Windows console close event; shutting log-core down
[23:42:19] [INFO] received Windows console close event; shutting log-core down
[23:53:55] [INFO] received Windows console close event; shutting log-core down
