[15:53:39] [INFO] received Windows console close event; shutting log-core down
[19:40:42] [INFO] received Windows console close event; shutting log-core down
[19:40:57] [INFO] received Windows console close event; shutting log-core down
[19:41:08] [INFO] received Windows console close event; shutting log-core down
[19:42:17] [INFO] received Windows console close event; shutting log-core down
[19:47:30] [INFO] received Windows console close event; shutting log-core down
[19:49:14] [INFO] received Windows console close event; shutting log-core down
[20:02:40] [INFO] received Windows console close event; shutting log-core down
[23:17:34] [INFO] received Windows console close event; shutting log-core down
[23:31:02] [INFO] received Windows console close event; shutting log-core down
[23:37:36] [INFO] received Windows console close event; shutting log-core down
